Property,Count,Types,Example
configurations.missionCycles.159,1257,list,['159']
configurations.missionCycles.280,281,list,['280']
configurations.missionCycles.160,1243,list,['160']
configurations.missionCycles.281,273,list,['281']
configurations.missionCycles.161,1235,list,['161']
configurations.missionCycles.282,264,list,['282']
configurations.missionCycles.162,1232,list,['162']
configurations.missionCycles.283,245,list,['283']
configurations.missionCycles.163,1212,list,['163']
configurations.missionCycles.284,235,list,['284']
configurations.missionCycles.164,1209,list,['164']
configurations.missionCycles.165,1200,list,['165']
configurations.missionCycles.166,1191,list,['166']
configurations.missionCycles.167,1189,list,['167']
configurations.missionCycles.168,1180,list,['168']
configurations.missionCycles.169,1169,list,['169']
configurations.missionCycles.290,200,list,['290']
configurations.missionCycles.170,1156,list,['170']
configurations.missionCycles.171,1135,list,['171']
configurations.missionCycles.292,193,list,['292']
configurations.missionCycles.172,1113,list,['172']
configurations.missionCycles.173,1090,list,['173']
configurations.missionCycles.174,1082,list,['174']
configurations.missionCycles.175,1063,list,['175']
configurations.missionCycles.176,1047,list,['176']
configurations.missionCycles.177,1044,list,['177']
configurations.missionCycles.178,1049,list,['178']
configurations.missionCycles.179,1049,list,['179']
configurations.missionCycles.74,1897,list,['74']
configurations.missionCycles.75,1883,list,['75']
configurations.missionCycles.76,1879,list,['76']
configurations.missionCycles.77,1880,list,['77']
configurations.missionCycles.78,1872,list,['78']
configurations.missionCycles.79,1868,list,['79']
configurations.missionCycles.180,1043,list,['180']
configurations.missionCycles.181,1060,list,['181']
configurations.missionCycles.182,1057,list,['182']
configurations.missionCycles.183,1046,list,['183']
configurations.missionCycles.184,1050,list,['184']
configurations.missionCycles.185,1039,list,['185']
configurations.missionCycles.186,1028,list,['186']
configurations.missionCycles.187,1019,list,['187']
configurations.missionCycles.188,1000,list,['188']
configurations.missionCycles.189,991,list,['189']
configurations.missionCycles.80,1828,list,['80']
configurations.missionCycles.81,1821,list,['81']
configurations.missionCycles.82,1815,list,['82']
configurations.missionCycles.83,1811,list,['83']
configurations.missionCycles.84,1787,list,['84']
configurations.missionCycles.85,1792,list,['85']
configurations.missionCycles.86,1787,list,['86']
configurations.missionCycles.87,1787,list,['87']
configurations.missionCycles.88,1764,list,['88']
configurations.missionCycles.89,1732,list,['89']
configurations.missionCycles.190,983,list,['190']
configurations.missionCycles.191,973,list,['191']
configurations.missionCycles.192,964,list,['192']
configurations.missionCycles.193,954,list,['193']
configurations.missionCycles.194,949,list,['194']
configurations.missionCycles.195,946,list,['195']
configurations.missionCycles.196,942,list,['196']
configurations.missionCycles.197,945,list,['197']
configurations.missionCycles.198,936,list,['198']
configurations.missionCycles.199,924,list,['199']
configurations.missionCycles.90,1736,list,['90']
configurations.missionCycles.91,1736,list,['91']
configurations.missionCycles.92,1722,list,['92']
configurations.missionCycles.93,1713,list,['93']
configurations.missionCycles.94,1730,list,['94']
configurations.missionCycles.95,1715,list,['95']
configurations.missionCycles.96,1712,list,['96']
configurations.missionCycles.97,1685,list,['97']
configurations.missionCycles.98,1675,list,['98']
