datasetID,globalattributes
E2M3A_CTD_meteo_CO2_pH_NRT,keywords_vocabulary
E2M3A_CTD_meteo_CO2_pH_NRT,license
E2M3A_CTD_meteo_CO2_pH_NRT,license_uri
E2M3A_CTD_meteo_CO2_pH_NRT,network
E2M3A_CTD_meteo_CO2_pH_NRT,Northernmost_Northing
E2M3A_CTD_meteo_CO2_pH_NRT,platform_code
E2M3A_CTD_meteo_CO2_pH_NRT,principal_investigator
E2M3A_CTD_meteo_CO2_pH_NRT,principal_investigator_email
E2M3A_CTD_meteo_CO2_pH_NRT,site_code
E2M3A_CTD_meteo_CO2_pH_NRT,source
E2M3A_CTD_meteo_CO2_pH_NRT,source_platform_category_code
E2M3A_CTD_meteo_CO2_pH_NRT,sourceUrl
E2M3A_CTD_meteo_CO2_pH_NRT,Southernmost_Northing
E2M3A_CTD_meteo_CO2_pH_NRT,standard_name_vocabulary
E2M3A_CTD_meteo_CO2_pH_NRT,summary
E2M3A_CTD_meteo_CO2_pH_NRT,time_coverage_end
E2M3A_CTD_meteo_CO2_pH_NRT,time_coverage_start
E2M3A_CTD_meteo_CO2_pH_NRT,title
E2M3A_CTD_meteo_CO2_pH_NRT,update_interval
E2M3A_CTD_meteo_CO2_pH_NRT,Westernmost_Easting
E2M3A_CTD_meteo_CO2_pH_NRT,wmo_platform_code
E2M3A_2021_2022_TS,cdm_data_type
E2M3A_2021_2022_TS,cdm_timeseries_variables
E2M3A_2021_2022_TS,Conventions
E2M3A_2021_2022_TS,creator_email
E2M3A_2021_2022_TS,creator_type
E2M3A_2021_2022_TS,creator_url
E2M3A_2021_2022_TS,data_mode
E2M3A_2021_2022_TS,data_type
E2M3A_2021_2022_TS,date_created
E2M3A_2021_2022_TS,Easternmost_Easting
E2M3A_2021_2022_TS,emso_facility
E2M3A_2021_2022_TS,featureType
E2M3A_2021_2022_TS,format_version
E2M3A_2021_2022_TS,geospatial_lat_max
E2M3A_2021_2022_TS,geospatial_lat_min
E2M3A_2021_2022_TS,geospatial_lat_units
E2M3A_2021_2022_TS,geospatial_lon_max
E2M3A_2021_2022_TS,geospatial_lon_min
E2M3A_2021_2022_TS,geospatial_lon_units
E2M3A_2021_2022_TS,geospatial_vertical_max
E2M3A_2021_2022_TS,geospatial_vertical_min
E2M3A_2021_2022_TS,geospatial_vertical_positive
E2M3A_2021_2022_TS,geospatial_vertical_units
E2M3A_2021_2022_TS,history
E2M3A_2021_2022_TS,id
E2M3A_2021_2022_TS,infoUrl
E2M3A_2021_2022_TS,institution
E2M3A_2021_2022_TS,institution_edmo_code
E2M3A_2021_2022_TS,institution_edmo_uri
E2M3A_2021_2022_TS,keywords
E2M3A_2021_2022_TS,keywords_vocabulary
E2M3A_2021_2022_TS,license
E2M3A_2021_2022_TS,license_uri
E2M3A_2021_2022_TS,network
E2M3A_2021_2022_TS,Northernmost_Northing
