DatasetID,Variable Name,Data Type,Value
OS_ESTOC_201610_D_ADCP_FixO3_80mUpward,time,['double'],"['nValues=1258, evenlySpaced=false, averageSpacing=1h 0m 0s']"
OS_ESTOC_201610_D_CTD-DO-FIX03-150m,depth,['float'],"['nValues=1, onlyValue=150.0']"
OS_ESTOC_201610_D_CTD-DO-FIX03-150m,time,['double'],"['nValues=5452, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC_201610_D_Currentmeter_FixO3-150m,depth,['float'],"['nValues=1, onlyValue=150.0']"
OS_ESTOC_201610_D_Currentmeter_FixO3-150m,time,['double'],"['nValues=5027, evenlySpaced=true, averageSpacing=15m 0s']"
OS_ESTOC_201610_D_FLNTU_FixO3-140m,depth,['float'],"['nValues=1, onlyValue=140.0']"
OS_ESTOC_201610_D_FLNTU_FixO3-140m,time,['double'],"['nValues=5442, evenlySpaced=false, averageSpacing=15m 1s']"
OS_ESTOC_2016_D_CTD_FixO3-1-surface,depth,['float'],"['nValues=1, onlyValue=1.0']"
OS_ESTOC_2016_D_CTD_FixO3-1-surface,time,['double'],"['nValues=4238, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC_2016_D_CTD_FixO3-2-surface,depth,['float'],"['nValues=1, onlyValue=1.0']"
OS_ESTOC_2016_D_CTD_FixO3-2-surface,time,['double'],"['nValues=4149, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC_2016_D_FLNTU_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=1.0']"
OS_ESTOC_2016_D_FLNTU_FixO3-surface,time,['double'],"['nValues=43616, evenlySpaced=false, averageSpacing=1m 52s']"
OS_ESTOC_2016_D_PCO2_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=1.5']"
OS_ESTOC_2016_D_PCO2_FixO3-surface,time,['double'],"['nValues=226, evenlySpaced=false, averageSpacing=6h 1m 36s']"
OS_ESTOC_2016_D_SST-PSAL-DOXI-DOXITEMP-CPHL-TURB_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=1.5']"
OS_ESTOC_2016_D_SST-PSAL-DOXI-DOXITEMP-CPHL-TURB_FixO3-surface,time,['double'],"['nValues=5451, evenlySpaced=true, averageSpacing=15m 0s']"
OS_ESTOC_2016_D_buoy-ocean-1,depth,['float'],"['nValues=1, onlyValue=-1.0']"
