DatasetID,Attribute Name,Variable Name,Data Type,Value
OceanGlidersGDACTrajectories,_FillValue,MOLAR_DOXY,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,MOLAR_DOXY_QC,['byte'],['-128']
OceanGlidersGDACTrajectories,_FillValue,MOLAR_DOXY_UNCERTAINTY,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,PHASE_NUMBER,['int'],['99999']
OceanGlidersGDACTrajectories,_FillValue,POSITIONING_METHOD,['byte'],['-128']
OceanGlidersGDACTrajectories,_FillValue,POSITION_QC,['byte'],['-128']
OceanGlidersGDACTrajectories,_FillValue,PRES,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,PRES_QC,['byte'],['-128']
OceanGlidersGDACTrajectories,_FillValue,PRES_UNCERTAINTY,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,PSAL,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,PSAL_QC,['byte'],['-128']
OceanGlidersGDACTrajectories,_FillValue,PSAL_UNCERTAINTY,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,TEMP,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,TEMP_DOXY,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,TEMP_DOXY_QC,['byte'],['-128']
OceanGlidersGDACTrajectories,_FillValue,TEMP_DOXY_UNCERTAINTY,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,TEMP_QC,['byte'],['-128']
OceanGlidersGDACTrajectories,_FillValue,TEMP_UNCERTAINTY,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,TIME_QC,['byte'],['-128']
OceanGlidersGDACTrajectories,_FillValue,latitude,['double'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,longitude,['double'],['99999.0']
OceanGlidersGDACTrajectories,abstract,NC_GLOBAL,['String'],"['The general objective of the EBAMAR-PortoC program is to promote, jointly and coordinated with\\nthe activities carried out by other autonomous communities, the current research and\\ntechnological development strategy in marine sciences of the Balearic Islands so that the new\\nchallenges in the ocean observation and, in particular, the effects of climate change in the\\nMediterranean Sea. Through a detailed understanding of how carbon cycling processes are varying\\nin neritic and oceanic waters, and of the pathways that link production in surface waters with the\\nexport of organic matter to deep areas of the ocean, we seek to answer to scientific questions\\nabout ocean warming, and more specifically, how Mediterranean marine ecosystems and\\nbiogeochemical cycles respond to environmental changes or what the dynamics of the carbon\\ncycle and marine ecosystems will be like in the future..']"
OceanGlidersGDACTrajectories,accuracy,CHLA,['double'],['1.0E-4']
OceanGlidersGDACTrajectories,accuracy,CNDC,['double'],['1.0E-4']
OceanGlidersGDACTrajectories,accuracy,MOLAR_DOXY,['double'],['1.0E-4']
OceanGlidersGDACTrajectories,accuracy,PRES,['double'],['1.0E-4']
OceanGlidersGDACTrajectories,accuracy,PSAL,['double'],['1.0E-4']
OceanGlidersGDACTrajectories,accuracy,TEMP,['double'],['1.0E-4']
OceanGlidersGDACTrajectories,accuracy,TEMP_DOXY,['double'],['1.0E-4']
OceanGlidersGDACTrajectories,acknowledgement,NC_GLOBAL,['String'],['Ministerio de Econom\\u00eda y Competitividad (http://www.idi.mineco.gob.es/). Govern de les Illes Balears (http://www.caib.es/).']
OceanGlidersGDACTrajectories,actual_range,BBP700,['float'],"['-106.0, 9999.0']"
OceanGlidersGDACTrajectories,actual_range,BBP700_QC,['byte'],"['0, 4']"
OceanGlidersGDACTrajectories,actual_range,BPHASE_DOXY,['float'],"['0.0, 64.76']"
OceanGlidersGDACTrajectories,actual_range,BPHASE_DOXY_QC,['byte'],"['0, 0']"
OceanGlidersGDACTrajectories,actual_range,CDOM,['float'],"['-338.459, 11964.5']"
OceanGlidersGDACTrajectories,actual_range,CDOM_QC,['byte'],"['0, 0']"
OceanGlidersGDACTrajectories,actual_range,CHLA,['float'],"['-71.0, 9999.0']"
OceanGlidersGDACTrajectories,actual_range,CHLA_QC,['byte'],"['0, 4']"
OceanGlidersGDACTrajectories,actual_range,CHLA_UNCERTAINTY,['float'],"['0.0, 0.0']"
OceanGlidersGDACTrajectories,actual_range,CNDC,['float'],"['-37.37231, 2.81029E7']"
OceanGlidersGDACTrajectories,actual_range,CNDC_QC,['byte'],"['0, 4']"
OceanGlidersGDACTrajectories,actual_range,CNDC_UNCERTAINTY,['float'],"['0.0, 0.0']"
OceanGlidersGDACTrajectories,actual_range,DPHASE_DOXY,['float'],"['-238.872, 9.96921E36']"
